"Use For Go-Live? Y/N","Source Code","Item Name","Quote Unit","Customer Charge","Costing Shape","Material 1","Qty/Ratio 1","Material 2","Qty/Ratio 2","Material 3","Qty/Ratio 3","Making/Service Charge","Per Unit or Lump Sum","Stock Tracked?","Customer Supplied Possible?",Notes
,943,"Smile Juice",,,,,,,,,,,,,,
,139,"Welcome Drink",,,,,,,,,,,,,,
,290,"Chicken Yakhni Soup",,,,,,,,,,,,,,
,84,"Hot & Sour Soup",,,,,,,,,,,,,,
,72,"Chicken Corn Soup",,,,,,,,,,,,,,
,433,"Fresh Lime",,,,,,,,,,,,,,
,954,"Wonton Starter",,,,,,,,,,,,,,
,955,"Chicken Pocket Starter",,,,,,,,,,,,,,
,796,"Mint Roll Starter",,,,,,,,,,,,,,
,953,"Dhaka Chicken Starter",,,,,,,,,,,,,,
,950,"Arabian Puff Starter",,,,,,,,,,,,,,
,951,"Chicken Cheese Cone Starter",,,,,,,,,,,,,,
,952,"Peri Bites Starter",,,,,,,,,,,,,,
,956,"Chiky Micky Starter",,,,,,,,,,,,,,
,452,"Chicken Thai Soup",,,,,,,,,,,,,,
,453,"Chicken Vegetable Soup",,,,,,,,,,,,,,
,279,"Juice Bar",,,,,,,,,,,,,,
,307,"Lemon Squash",,,,,,,,,,,,,,
,281,"Maaza Juice",,,,,,,,,,,,,,
,296,"Chicken Mushroom Soup",,,,,,,,,,,,,,
,527,"Candy Floss",,,,,,,,,,,,,,
,528,"Pop Corn",,,,,,,,,,,,,,
,339,"Pani Puri",,,,,,,,,,,,,,
,544,"Meethi Puri",,,,,,,,,,,,,,
,624,Dates,,,,,,,,,,,,,,
,335,"Chana Chaat",,,,,,,,,,,,,,
,336,"Bun Kabab",,,,,,,,,,,,,,
,143,"Samosa Qeema Beef",,,,,,,,,,,,,,
,151,"Rooh Afza",,,,,,,,,,,,,,
,144,"Samosa Aloo",,,,,,,,,,,,,,
,209,"Fruit Chaat",,,,,,,,,,,,,,
,533,Shawarma,,,,,,,,,,,,,,
,334,"Gola Ganda",,,,,,,,,,,,,,
,593,"Soya Bean Stick",,,,,,,,,,,,,,
,693,Omelette,,,,,,,,,,,,,,
,694,"Bread Slice",,,,,,,,,,,,,,
,695,Cracker,,,,,,,,,,,,,,
,704,"Bread Stick",,,,,,,,,,,,,,
,709,"Bhel Puri",,,,,,,,,,,,,,
,711,"Limca Drink",,,,,,,,,,,,,,
,721,"Peri Bite",,,,,,,,,,,,,,
,724,"Assorted Canapes",,,,,,,,,,,,,,
,725,"Onion Rings",,,,,,,,,,,,,,
,726,"Chicken Croissant",,,,,,,,,,,,,,
,727,"Chicken Cream Soup",,,,,,,,,,,,,,
,737,"Baby Donut",,,,,,,,,,,,,,
,739,Cap,,,,,,,,,,,,,,
,740,T-Shirt,,,,,,,,,,,,,,
,741,Shirt,,,,,,,,,,,,,,
,752,"Dynamite Chicken",,,,,,,,,,,,,,
,787,"Kachori Mehmood",,,,,,,,,,,,,,
,822,"Extra Bun",,,,,,,,,,,,,,
,831,"Chicken Shot",,,,,,,,,,,,,,
,844,"Welcome Platter Fried 360",,,,,,,,,,,,,,
,859,"Korean Bite",,,,,,,,,,,,,,
,883,"Dynamite Prawns",,,,,,,,,,,,,,
,932,"Fruit Shot",,,,,,,,,,,,,,
,949,"Spring Roll Starter",,,,,,,,,,,,,,
,375,"Biryani Masala Beef Boneless",,,,,,,,,,,,,,
,136,"Biryani Masala Aloo",,,,,,,,,,,,,,
,361,"Biryani Masala Beef",,,,,,,,,,,,,,
,247,"Biryani Masala Qeema",,,,,,,,,,,,,,
,79,"Biryani Masala Aloo Chana",,,,,,,,,,,,,,
,312,"Pulao Aloo Chana",,,,,,,,,,,,,,
,275,"Pulao Afghani Mutton",,,,,,,,,,,,,,
,469,"Fried Rice Beef",,,,,,,,,,,,,,
,260,"Biryani Masala Chana",,,,,,,,,,,,,,
,1,"Biryani Masala Chicken",,,,,,,,,,,,,,
,318,"Biryani Masala Fish",,,,,,,,,,,,,,
,481,"Biryani Masala Kofta Beef",,,,,,,,,,,,,,
,480,"Biryani Masala Kofta Chicken",,,,,,,,,,,,,,
,2,"Biryani Masala Mutton",,,,,,,,,,,,,,
,475,"Biryani Masala Prawn",,,,,,,,,,,,,,
,512,"Biryani Zafran",,,,,,,,,,,,,,
,252,"Pulao Chana",,,,,,,,,,,,,,
,8,"Egg Fried Rice Chicken",,,,,,,,,,,,,,
,7,"Fried Rice Chicken",,,,,,,,,,,,,,
,236,"Vegetable Rice Chicken",,,,,,,,,,,,,,
,179,"Fried Rice",,,,,,,,,,,,,,
,472,"Fried Rice Mutton",,,,,,,,,,,,,,
,474,"Fried Rice Prawn",,,,,,,,,,,,,,
,177,"Biryani Sada Mutton",,,,,,,,,,,,,,
,182,"Biryani Sada Mutton Zafran",,,,,,,,,,,,,,
,483,"Pulao Kofta Beef",,,,,,,,,,,,,,
,322,"Biryani Malka Masoor",,,,,,,,,,,,,,
,164,"Pulao Masoor",,,,,,,,,,,,,,
,102,"Peas Pulao",,,,,,,,,,,,,,
,505,"Packing Large Boxes",,,,,,,,,,,,,,
,356,"Pulao Fish",,,,,,,,,,,,,,
,304,"Pulao Kofta Chicken",,,,,,,,,,,,,,
,476,"Pulao Prawn",,,,,,,,,,,,,,
,288,Rice,,,,,,,,,,,,,,
,130,"Singaporean Rice",,,,,,,,,,,,,,
,477,"Steamed Rice White",,,,,,,,,,,,,,
,461,"Biryani Tikka Chicken",,,,,,,,,,,,,,
,478,"Vegetable Rice",,,,,,,,,,,,,,
,155,"Biryani Vegetable",,,,,,,,,,,,,,
,9,"Fried Rice Vegetable",,,,,,,,,,,,,,
,265,"Pulao Vegetable",,,,,,,,,,,,,,
,518,"Yakhni Pulao Beef",,,,,,,,,,,,,,
,484,"Yakhni Pulao Beef Boneless",,,,,,,,,,,,,,
,4,"Pulao Chicken",,,,,,,,,,,,,,
,5,"Yakhni Pulao Mutton",,,,,,,,,,,,,,
,96,"Zeera Pulao",,,,,,,,,,,,,,
,520,"Biryani Sada Beef Zafran",,,,,,,,,,,,,,
,522,"Biryani Masala Chicken Aloo",,,,,,,,,,,,,,
,523,"Biryani Sada Chicken Zafran",,,,,,,,,,,,,,
,525,"Rice 11-21 Mughlai",,,,,,,,,,,,,,
,534,"Biryani Sada Beef",,,,,,,,,,,,,,
,530,"Biryani Sada Chicken",,,,,,,,,,,,,,
,535,"Vegetable Fried Rice",,,,,,,,,,,,,,
,542,"Biryani Masala Beef Aloo",,,,,,,,,,,,,,
,551,"Danda Biryani Zafran",,,,,,,,,,,,,,
,557,"Biryani Masala Chicken Single Box",,,,,,,,,,,,,,
,561,"Biryani Chicken Box",,,,,,,,,,,,,,
,566,"Singaporean Rice Counter",,,,,,,,,,,,,,
,567,"Biryani Masala Mutton Aloo",,,,,,,,,,,,,,
,575,"Chicken Biryani Box Small",,,,,,,,,,,,,,
,579,"Biryani Masala Lamb",,,,,,,,,,,,,,
,587,"Pulao Chicken Aloo",,,,,,,,,,,,,,
,591,"Singaporean Rice Box Small",,,,,,,,,,,,,,
,596,"Pulao Chicken Box Small",,,,,,,,,,,,,,
,599,"Beef Qeema Aloo Tehri",,,,,,,,,,,,,,
,600,"Rice Baig",,,,,,,,,,,,,,
,602,"Biryani Bucket Large",,,,,,,,,,,,,,
,610,"Afghani Chicken Pulao",,,,,,,,,,,,,,
,611,"Singaporean Rice Kofta",,,,,,,,,,,,,,
,625,"Biryani Box Large",,,,,,,,,,,,,,
,629,"Zeera Rice Daal Chana",,,,,,,,,,,,,,
,659,"Beef Qeema with Mutton Chops",,,,,,,,,,,,,,
,664,"Biryani Masala White Beef",,,,,,,,,,,,,,
,665,"Vegetable Fried Rice",,,,,,,,,,,,,,
,668,"Biryani White Mutton",,,,,,,,,,,,,,
,672,"Biryani White Masala Beef",,,,,,,,,,,,,,
,673,"Biryani White Masala Chicken",,,,,,,,,,,,,,
,674,"Biryani White Masala Mutton",,,,,,,,,,,,,,
,683,"Aloo Tehri",,,,,,,,,,,,,,
,701,"Duck Pulao",,,,,,,,,,,,,,
,705,"Chicken Biryani Boneless",,,,,,,,,,,,,,
,742,"Beef Bong Biryani",,,,,,,,,,,,,,
,429,"Balti Gosht Mutton",,,,,,,,,,,,,,
,14,"Qorma Mutton",,,,,,,,,,,,,,
,400,"Balti Gosht Chicken",,,,,,,,,,,,,,
,342,"Karahi Green Chicken",,,,,,,,,,,,,,
,163,"Aloo Gosht Beef",,,,,,,,,,,,,,
,162,"Achar Gosht Beef",,,,,,,,,,,,,,
,382,"Achar Handi Beef",,,,,,,,,,,,,,
,583,"Beef Chilli Dry",,,,,,,,,,,,,,
,761,"Karahi Chicken Peshawari",,,,,,,,,,,,,,
,764,"Kashmiri Pulao Chicken",,,,,,,,,,,,,,
,112,"Daal Gosht Beef",,,,,,,,,,,,,,
,766,"Pulao Biryani Chicken",,,,,,,,,,,,,,
,767,"Pulao Biryani Beef",,,,,,,,,,,,,,
,784,"Vegetable Fried Rice with Beef Chilli",,,,,,,,,,,,,,
,792,"Current Pulao Beef",,,,,,,,,,,,,,
,379,"Handi Beef Boneless",,,,,,,,,,,,,,
,808,"Zeera Rice",,,,,,,,,,,,,,
,813,"Afghani Pulao Beef",,,,,,,,,,,,,,
,823,"Afghani Pulao Mutton",,,,,,,,,,,,,,
,17,"Karahi Beef",,,,,,,,,,,,,,
,824,"Afghani Rice",,,,,,,,,,,,,,
,829,"Current Pulao Chicken",,,,,,,,,,,,,,
,491,"Karahi Beef Boneless Live",,,,,,,,,,,,,,
,309,"Karahi Green Beef",,,,,,,,,,,,,,
,845,"Beef Chilli",,,,,,,,,,,,,,
,855,"Chicken Madbi",,,,,,,,,,,,,,
,25,"Kofta Beef",,,,,,,,,,,,,,
,246,"Kunna Beef",,,,,,,,,,,,,,
,876,"Chicken Malai Seekh Biryani",,,,,,,,,,,,,,
,887,"Biryani Dum Wali Mutton",,,,,,,,,,,,,,
,893,"Biryani Beef Boneless Box",,,,,,,,,,,,,,
,26,"Nargisi Kofta Beef",,,,,,,,,,,,,,
,908,"Biryani Masala Sada",,,,,,,,,,,,,,
,67,"Paya Beef",,,,,,,,,,,,,,
,289,"Palak Gosht Beef",,,,,,,,,,,,,,
,156,"Palak Paneer Beef",,,,,,,,,,,,,,
,287,"Pasanday Beef",,,,,,,,,,,,,,
,27,"Qeema Beef",,,,,,,,,,,,,,
,488,"Stew Qeema Beef",,,,,,,,,,,,,,
,500,"Qorma Beef",,,,,,,,,,,,,,
,499,"Qorma Beef Boneless",,,,,,,,,,,,,,
,262,"Shashlik Beef",,,,,,,,,,,,,,
,386,"Shimla Mirch Qeema Beef",,,,,,,,,,,,,,
,1005,"Chicken Makhni Handi",,,,,,,,,,,,,,
,285,"Stew Beef",,,,,,,,,,,,,,
,227,"White Karahi Beef",,,,,,,,,,,,,,
,302,"White Qorma Beef",,,,,,,,,,,,,,
,323,"Brain Masala",,,,,,,,,,,,,,
,234,"Aloo Gosht Chicken",,,,,,,,,,,,,,
,399,"Aloo Qorma Chicken",,,,,,,,,,,,,,
,111,"Achar Gosht Chicken",,,,,,,,,,,,,,
,287,"Chicken Butter",,,,,,,,,,,,,,
,189,"Chow Mein Chicken",,,,,,,,,,,,,,
,11,"Chilli Chicken",,,,,,,,,,,,,,
,391,"Chillies Vegetable Chicken",,,,,,,,,,,,,,
,300,"Choley Chicken",,,,,,,,,,,,,,
,124,"Ginger Chicken",,,,,,,,,,,,,,
,228,"Green Karahi Chicken",,,,,,,,,,,,,,
,259,"Haleem Chicken",,,,,,,,,,,,,,
,519,"Handi Chicken",,,,,,,,,,,,,,
,76,"Handi Chicken Boneless Special",,,,,,,,,,,,,,
,TRUNCATED,"Jalfrezi Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Karahi Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Karahi Chicken Boneless",,,,,,,,,,,,,,
,TRUNCATED,"Karahi Chicken Live",,,,,,,,,,,,,,
,TRUNCATED,"Kofta Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Makhni Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Malai Kofta Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Manchurian Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Nargisi Kofta Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Garlic Rice",,,,,,,,,,,,,,
,TRUNCATED,"Famous Tehri Hyderabadi Mutton",,,,,,,,,,,,,,
,TRUNCATED,"Nihari Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Palak Paneer Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Beef Biryani Sindhi Aloo",,,,,,,,,,,,,,
,TRUNCATED,"Chicken Mandi",,,,,,,,,,,,,,
,TRUNCATED,"Stew Qeema Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Qorma Badami Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Masala Rice Boiled",,,,,,,,,,,,,,
,TRUNCATED,"Masala Pulao Aloo",,,,,,,,,,,,,,
,TRUNCATED,"Stew Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Afghani Chicken Biryani",,,,,,,,,,,,,,
,TRUNCATED,"Khatri Biryani Beef",,,,,,,,,,,,,,
,TRUNCATED,"Karahi White Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Qorma White Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Chicken Khatri Biryani",,,,,,,,,,,,,,
,TRUNCATED,"Beef Khatri Biryani Box Small",,,,,,,,,,,,,,
,TRUNCATED,"Vegetable Chow Mein",,,,,,,,,,,,,,
,TRUNCATED,"Daal Chana",,,,,,,,,,,,,,
,TRUNCATED,"Chicken Khatri Biryani Box Small",,,,,,,,,,,,,,
,TRUNCATED,"Singaporean Box Large",,,,,,,,,,,,,,
,1037,"Singaporean Box Large",,,,,,,,,,,,,,
,171,"Daal Lauki Beef",,,,,,,,,,,,,,
,1046,"Mutton Khatri Biryani",,,,,,,,,,,,,,
,1047,"Biryani Chicken Malai Boti",,,,,,,,,,,,,,
,1048,"Beef Khatri Matka Biryani",,,,,,,,,,,,,,
,442,"Handi Fish",,,,,,,,,,,,,,
,447,"Green Masala Fish",,,,,,,,,,,,,,
,1049,"Hyderabadi Beef Pulao",,,,,,,,,,,,,,
,1050,"Hyderabadi Chicken Pulao",,,,,,,,,,,,,,
,314,"Karahi Fish",,,,,,,,,,,,,,
,446,"Masala Fish",,,,,,,,,,,,,,
,1051,"Beef Changezi Pulao",,,,,,,,,,,,,,
,1052,"Chicken Changezi Pulao",,,,,,,,,,,,,,
,154,"Qorma Fish",,,,,,,,,,,,,,
,87,"Beef Haleem",,,,,,,,,,,,,,
,126,"Hari Mirch Qeema Fish",,,,,,,,,,,,,,
,199,"Kachri Qeema Beef",,,,,,,,,,,,,,
,286,"Katakat Mutton",,,,,,,,,,,,,,
,88,Khichra,,,,,,,,,,,,,,
,194,"Aloo Gosht Mutton",,,,,,,,,,,,,,
,257,"Achar Gosht Mutton",,,,,,,,,,,,,,
,421,"Handi Mutton",,,,,,,,,,,,,,
