order_item_id,item_id,qty,consume,fixed
1,8,10,10,NO
1,9,10,1.5,NO
1,11,10,3,NO
1,12,10,0.15,NO
1,14,10,5,NO
1,16,10,5,NO
1,33,10,0.1,NO
1,39,10,0.25,NO
1,60,10,0.05,NO
1,62,10,0.005,NO
1,72,10,0.025,NO
1,82,10,0.025,NO
1,83,10,0.15,NO
1,85,10,0.1,NO
1,93,10,1.5,NO
1,98,10,0.005,NO
1,105,10,0.01,NO
1,106,10,0.005,NO
1,110,10,2,NO
1,120,10,0.005,NO
1,125,10,0.01,NO
1,140,10,0.005,NO
1,182,10,0.001,NO
1,184,10,0.01,NO
1,202,10,0.1,NO
2,8,10,10,NO
2,9,10,1.5,NO
2,11,10,3,NO
2,12,10,0.15,NO
2,14,10,5,NO
2,16,10,5,NO
2,33,10,0.1,NO
2,39,10,0.25,NO
2,60,10,0.05,NO
2,62,10,0.005,NO
2,72,10,0.025,NO
2,82,10,0.025,NO
2,83,10,0.15,NO
2,85,10,0.1,NO
2,93,10,1.5,NO
2,98,10,0.005,NO
2,105,10,0.01,NO
2,106,10,0.005,NO
2,110,10,2,NO
2,120,10,0.005,NO
2,125,10,0.01,NO
2,140,10,0.005,NO
2,182,10,0.001,NO
2,184,10,0.01,NO
2,202,10,0.1,NO
4,8,10,10,NO
4,11,10,1,NO
4,12,10,0.15,NO
4,33,10,0.1,NO
4,62,10,0.005,NO
4,83,10,0.2,NO
4,85,10,0.1,NO
4,93,10,1.5,NO
4,98,10,0.005,NO
4,104,10,0.015,NO
4,105,10,0.01,NO
4,110,10,2,NO
4,113,10,0.03,NO
4,140,10,0.005,NO
4,163,10,0.01,NO
4,171,10,0.005,NO
4,183,10,0.02,NO
4,202,10,0.1,NO
5,8,10,10,NO
5,11,10,1,NO
5,12,10,0.15,NO
5,33,10,0.1,NO
5,62,10,0.005,NO
5,83,10,0.2,NO
5,85,10,0.1,NO
5,93,10,1.5,NO
5,98,10,0.005,NO
5,104,10,0.015,NO
5,105,10,0.01,NO
5,110,10,2,NO
5,113,10,0.03,NO
5,140,10,0.005,NO
5,163,10,0.01,NO
5,171,10,0.005,NO
5,183,10,0.02,NO
5,202,10,0.1,NO
7,8,10,10,NO
7,12,10,0.15,NO
7,15,10,3,NO
7,20,10,3,NO
7,24,10,3,NO
7,33,10,0.1,NO
7,61,10,0.005,NO
7,75,10,3,NO
7,83,10,0.1,NO
7,85,10,0.1,NO
7,110,10,2.5,NO
7,202,10,0.1,NO
7,203,10,24,NO
7,204,10,0.15,NO
8,8,10,10,NO
8,12,10,0.15,NO
8,15,10,3,NO
8,20,10,3,NO
8,24,10,3,NO
8,33,10,0.1,NO
8,61,10,0.005,NO
8,83,10,0.1,NO
8,85,10,0.1,NO
8,110,10,2.5,NO
8,202,10,0.1,NO
8,203,10,24,NO
8,204,10,0.15,NO
9,8,10,10,NO
9,12,10,0.15,NO
9,15,10,3,NO
9,20,10,3,NO
9,24,10,3,NO
9,33,10,0.1,NO
9,61,10,0.005,NO
9,83,10,0.1,NO
9,85,10,0.1,NO
9,110,10,2.5,NO
9,202,10,0.1,NO
9,204,10,0.15,NO
11,15,10,2,NO
11,20,10,2,NO
11,23,10,2,NO
11,24,10,2,NO
11,61,10,0.025,NO
11,75,10,3,NO
11,85,10,0.05,NO
11,92,10,2,NO
11,202,10,0.05,NO
11,204,10,0.1,NO
12,11,10,3,NO
12,12,10,0.2,NO
12,33,10,0.1,NO
12,62,10,0.005,NO
12,84,10,0.1,NO
12,93,10,3.5,NO
12,98,10,0.005,NO
12,103,10,0.08,NO
12,106,10,0.005,NO
12,110,10,3,NO
12,120,10,0.005,NO
12,140,10,0.005,NO
12,202,10,0.025,NO
13,11,10,3,NO
13,12,10,0.2,NO
13,33,10,0.1,NO
13,62,10,0.005,NO
13,84,10,0.1,NO
13,93,10,3.5,NO
13,98,10,0.005,NO
13,103,10,0.08,NO
13,106,10,0.005,NO
13,110,10,3,NO
13,120,10,0.005,NO
13,140,10,0.005,NO
13,202,10,0.025,NO
14,11,10,3,NO
14,12,10,0.2,NO
14,33,10,0.1,NO
14,62,10,0.005,NO
14,84,10,0.1,NO
14,93,10,3.5,NO
14,98,10,0.005,NO
14,103,10,0.08,NO
14,106,10,0.005,NO
14,110,10,3,NO
14,120,10,0.005,NO
14,140,10,0.005,NO
14,202,10,0.025,NO
15,9,10,4,NO
15,11,10,0.25,NO
15,12,10,0.15,NO
15,16,10,2,NO
15,33,10,0.1,NO
15,61,10,0.005,NO
15,62,10,0.005,NO
15,82,10,0.025,NO
15,83,10,0.1,NO
15,93,10,1,NO
15,110,10,3,NO
15,120,10,0.005,NO
15,185,10,0.015,NO
15,202,10,0.02,NO
15,207,10,0.02,NO
16,9,10,4,NO
16,11,10,0.25,NO
16,12,10,0.15,NO
16,16,10,2,NO
16,33,10,0.1,NO
16,61,10,0.005,NO
16,62,10,0.005,NO
16,82,10,0.025,NO
16,83,10,0.1,NO
16,93,10,1,NO
16,110,10,3,NO
16,120,10,0.005,NO
16,185,10,0.015,NO
16,202,10,0.02,NO
16,207,10,0.02,NO
17,9,10,4,NO
17,11,10,0.25,NO
17,12,10,0.15,NO
17,16,10,2,NO
17,33,10,0.1,NO
17,61,10,0.005,NO
17,62,10,0.005,NO
17,82,10,0.025,NO
17,83,10,0.1,NO
17,93,10,1,NO
17,110,10,3,NO
17,120,10,0.005,NO
17,185,10,0.015,NO
17,202,10,0.02,NO
17,207,10,0.02,NO
18,9,10,1.5,NO
18,11,10,3,NO
18,12,10,0.2,NO
18,16,10,2,NO
18,33,10,0.1,NO
18,61,10,0.005,NO
18,81,10,0.005,NO
18,83,10,0.2,NO
18,85,10,0.02,NO
18,93,10,1.5,NO
18,98,10,0.005,NO
18,104,10,0.01,NO
18,105,10,0.005,NO
18,110,10,3,NO
18,120,10,0.005,NO
18,140,10,0.005,NO
18,184,10,0.01,NO
18,202,10,0.02,NO
19,9,10,1.5,NO
19,11,10,3,NO
19,12,10,0.2,NO
19,16,10,2,NO
19,33,10,0.1,NO
19,61,10,0.005,NO
19,81,10,0.005,NO
19,83,10,0.2,NO
19,85,10,0.02,NO
19,93,10,1.5,NO
19,98,10,0.005,NO
19,104,10,0.01,NO
19,105,10,0.005,NO
19,110,10,3,NO
19,120,10,0.005,NO
19,140,10,0.005,NO
19,184,10,0.01,NO
19,202,10,0.02,NO
77,11,10,0.25,NO
77,12,10,0.15,NO
77,16,10,2,NO
77,22,10,0.25,NO
77,33,10,0.1,NO
77,61,10,0.005,NO
77,62,10,0.005,NO
77,83,10,0.15,NO
77,93,10,1,NO
77,110,10,3,NO
77,185,10,0.015,NO
77,202,10,0.02,NO
77,207,10,0.02,NO
77,208,10,4,NO
79,8,10,10,NO
79,9,10,1.5,NO
79,10,10,3,NO
79,11,10,3,NO
79,12,10,0.15,NO
79,14,10,5,NO
79,16,10,5,NO
79,33,10,0.1,NO
79,39,10,0.25,NO
79,60,10,0.05,NO
79,62,10,0.005,NO
79,67,10,3,NO
79,72,10,0.025,NO
79,82,10,0.025,NO
79,83,10,0.15,NO
79,85,10,0.1,NO
79,93,10,1.5,NO
79,98,10,0.005,NO
79,105,10,0.01,NO
79,106,10,0.005,NO
79,110,10,2,NO
79,120,10,0.005,NO
79,125,10,0.01,NO
79,140,10,0.005,NO
79,182,10,0.001,NO
79,184,10,0.01,NO
79,202,10,0.1,NO
102,8,10,10,NO
102,11,10,1,NO
102,12,10,0.15,NO
102,31,10,6,NO
102,33,10,0.1,NO
102,62,10,0.005,NO
102,83,10,0.2,NO
102,85,10,0.1,NO
102,93,10,1.5,NO
102,98,10,0.005,NO
102,104,10,0.015,NO
102,105,10,0.01,NO
102,110,10,2,NO
102,113,10,0.03,NO
102,140,10,0.005,NO
102,163,10,0.01,NO
102,171,10,0.005,NO
