kitchen_id,name
1,"KASHIF FOODS"
2,"MUNNAF KITCHEN"
3,BBQ
4,"TAHIR KARAHI LIVE"
5,"USAMA KITCHEN"
6,"DESSERT BAR M. ALI"
7,"ICE BURG"
8,"PESHAWARI SOUP KHAN"
9,"HALEEM GULZAR BHAI"
10,"SALAM BAKRA NIZAM"
11,"FRIED ALLAH DITTA"
12,"NAEEM KITCHEN"
13,"MOHSIN MALPURA"
14,"MASALAH DOSA"
15,TAFTAN
16,"RAS MALAI MEER ELAHI"
17,"SHAIR ALI BHAI TANDOOR/SALAD"
18,"NAZIM TEA"
19,"DAWOOD PAN"
20,"MAZHAR COLD DRINK/MINERAL"
21,BAKERY
22,"RABRI NAZIMABAB"
23,"SAJJI NASEEM"
24,"PANI PURI /GOLA GANDA"
25,STORE
26,"CHICKEN REHMAN"
27,"KASHIF FISH"
