item_id,name,unit,rate,category_id
1,"CHICKEN (REGULAR)",KGS,775,34
2,MUTTON,KGS,2400,1
3,"R MILK",KGS,745,1
4,"BEEF (WITH BONE)",KGS,1450,1
5,"FISH PACKET",KGS,500,1
6,PRAWN-LARGE,KGS,0,1
7,BATAIR,NOS,0,1
8,RICE,KGS,0,5
9,TOMATO,KGS,0,1
10,"POTATO (P)",KGS,0,1
11,"ONION (DRY)",KGS,0,1
12,ADRAK,KGS,0,1
13,"LARGE GREEN CHILLIES",KGS,0,1
14,PODINA,NOS,0,1
15,"SHIMLA MIRCH",KGS,0,1
16,"DHANYA (GREEN)",NOS,0,1
17,CHOQANDAR,KGS,0,1
18,KHEERA,KGS,0,1
19,MOLI,KGS,0,1
20,GAJAR,KGS,0,1
21,"SALAD PATTA",KGS,0,1
22,"LEMON POWDER",PK,0,1
23,BANGOBI,KGS,0,1
24,"PIYAZ (GREEN)",KGS,0,1
25,"PHOOL GOBBI",KGS,0,1
26,SHALGAM,KGS,0,1
27,PALAK,KGS,0,1
28,LOWKI,KGS,0,1
29,"SMALL GREEN CHILLIES",KGS,0,1
30,"PAKKA PAPITA",KGS,0,1
31,MATAR,KGS,0,1
32,BEGAN,KGS,0,1
33,LASSAN,KGS,0,1
34,CHIKO,KGS,0,1
35,KHARBUZA,KGS,0,1
36,BANANA,DOZEN,0,1
37,MANGO,KGS,0,1
38,APPLE,KGS,0,1
39,"AALOO BUKHARA (BIRYANI)",KGS,0,3
40,"COCKTAIL 3-KGS",PK,860,1
41,ACHAR,PKT,0,3
42,"AJWAIN POWDER",KGS,0,3
43,"AKHROT GREE",KGS,780,1
44,"ALUMUNIUM FOIL",NOS,135,1
45,"AALOO TARKARI",KGS,0,1
46,"ANAR DANA",KGS,0,3
47,ARAROT,KGS,0,1
48,ARWI,KGS,0,1
49,"AATA (ASHRAFI)",KGS,0,1
50,"FINE AATA",KG,0,1
51,BADAM,KGS,0,1
52,"BIHARI KABAB MASALA",NOS,0,3
53,"BAKEING POWDER",KGS,0,1
54,"ELECTRONIC SCALE",NOS,0,1
55,"BEEF (BONELESS)",KGS,1750,1
56,"BEEF BIHAARI BOTI",KGS,100,1
57,"BEET ROOT",KGS,0,1
58,BESAN,KGS,0,1
59,"BIHARI KABAB",KGS,120,1
60,"BIRYANI MASALA (KGS)",KGS,1300,3
61,"KALI MIRCH POWDER",KGS,600,1
62,"KALI MIRCH SABUT",KGS,550,3
63,KAKRI,KGS,0,1
64,BRINGAL,KGS,0,1
65,"CASH MEMO BOOKS",NOS,0,1
66,"KALA CHANA",KGS,0,1
67,"CHANA KABLI",KGS,0,1
68,"CHANA TARKARI",KGS,0,1
69,"CHANDI WARQ",NOS,0,1
70,CHAPATI,NOS,7,32
71,"CHAR MAGHAZ",KGS,0,1
72,"CHAT MASALA",KGS,1.21,3
73,"CHICKEN DRUM STICK",KGS,0,34
74,"CHICKEN (BONELESS)",KGS,775,34
75,"CHICKEN (GOLDEN PIECE)",KGS,0,34
76,"CHICKEN BIHARI BOTI",KGS,80,34
77,"CHICKEN MALAI BOTI",KGS,130,34
78,"CHICKEN STICK",KGS,0,34
79,"CHICKEN TANDOORI MASALA",NOS,0,1
80,"CHICKEN TIKKA (WHOLE)",KGS,0,34
81,"RED CHILLIES (MARWARI)",KGS,0,3
82,"RED CHILLIES (CUTTER)",KGS,0,3
83,CHILLIES,KGS,0,3
84,"RED CHILLIES (POWDER)",KGS,0,3
85,"CHINA SALT /AJEENO MUTO",KGS,0,3
86,"CHUTKI POWDER",KGS,0,3
87,"CLEANING MATERIAL",NOS,0,1
88,"COCONUT POWDER",KGS,0,1
89,COFFEE,BT,0,1
90,"PRINTER PAPERS",NOS,0,1
91,"COPEX POWDER",NOS,0,1
92,"CORN FLOUR (RAFHAN)",KGS,0,1
93,"RAW MATERIAL",KGS,120,1
94,"CUSTARD POWDER",PCS,265,1
95,"DAAL CHANA",KGS,75,1
96,"DAAL MASOR",KGS,110,1
97,"DAAL MONG",KGS,135,1
98,"DAAR CHENI",KGS,180.17,3
99,"DAKNI MIRCH /WHITE PAPER",KGS,1025.7,3
101,"ASLI DESSI GHEE",KGS,540,1
103,"DHANYA POWDER",KGS,160,1
104,"DHANYA (SABUT)",KGS,130,1
105,"ELAICHI (LARGE)",KGS,0,3
106,"ELAICHI (SMALL)",KGS,1050,3
107,"ZARDA ESSENCE",BOTT,290,1
108,"ESTIMATE BOOK",PCS,0,1
