order_item_id,name,category_id,unit,order_rate,meat_rate,service_rate,qty_in_no,cat_allow,kitchen_id,kitchen_allow
1,"BIRYANI MASALA CHICKEN",2,KGS,1735,535,1200,0,Y,1,Y
2,"BIRYANI MASALA MUTTON",2,KGS,4100,2900,1200,0,Y,1,Y
4,"PULAOW CHICKEN",2,KGS,1735,535,1200,0,Y,1,Y
5,"YAKHNI PULAOW MUTTON",2,KGS,3850,2600,1250,0,Y,1,Y
7,"FRIED RICE CHICKEN",2,KGS,1300,0,1300,0,N,1,Y
8,"EGG FRIED RICE CHICKEN",2,KGS,1300,0,1300,0,N,1,Y
9,"FRIED RICE VEGETABLE",2,KGS,1300,0,1300,0,N,1,Y
11,"CHILLI CHICKEN",3,KGS,1575,775,800,0,Y,1,Y
12,"QORMA MUTTON",3,KGS,3800,2900,900,0,Y,1,Y
13,"QORMA CHICKEN",3,KGS,1435,535,900,0,Y,1,Y
14,"QORMA BEEF",3,KGS,2350,1450,900,0,Y,1,Y
15,"KARAHI MUTTON",3,KGS,3800,2900,900,0,Y,1,Y
16,"KARAHI CHICKEN",3,KGS,1435,535,900,0,Y,1,Y
17,"KARAHI BEEF",3,KGS,2350,1450,900,0,Y,1,Y
18,"STEW MUTTON",3,KGS,3500,2600,900,0,Y,1,Y
19,"STEW CHICKEN",3,KGS,1435,535,900,0,Y,1,Y
21,"STEAM CHICKEN",5,KGS,1185,535,650,0,Y,1,Y
22,"BROAST CHICKEN",5,KGS,1185,535,650,0,N,1,Y
25,"KOFTA BEEF",3,KGS,2350,1550,800,0,Y,1,Y
26,"NARGISI KOFTA BEEF",3,KGS,2450,1550,900,0,Y,1,Y
27,"QEEMA BEEF",3,KGS,2650,1750,900,0,Y,1,Y
28,"SHAMI KABAB BEEF",5,PCS,120,0,120,0,N,1,N
29,"GULATI ZARDA",7,KGS,2000,0,2000,0,N,1,Y
30,"ZARDA KHOYA MOTIA GULAB JAMAN",7,KGS,2200,0,2200,0,Y,1,N
31,"FRUIT TRIFFAL",7,KGS,1100,0,1100,0,N,1,Y
32,"ICE TRIFFAL",7,KGS,1000,0,1000,0,N,6,Y
33,KHEER,7,KGS,900,0,900,0,N,1,Y
34,FIRNI,7,KGS,350,0,350,0,N,1,Y
35,"LOKI KHEER",7,KGS,950,0,950,0,N,1,Y
36,GAJRELA,7,KGS,400,0,400,0,N,1,Y
37,"HALWA GAJAR",7,KGS,1100,0,1100,0,N,1,N
38,"HALWA LOKI",7,KGS,1100,0,1100,0,N,1,Y
39,"CREAM KAREMAL",7,KGS,1150,0,1150,0,N,1,Y
41,"KHUBANI KA MEETHA",7,KGS,600,0,600,0,N,1,Y
43,"RABRI PLAIN",7,KGS,1500,0,1500,0,N,22,Y
44,"RABRI PISTA",7,KGS,1100,0,1100,0,N,22,Y
45,"SHAHI TUKRAY",7,PCS,80,0,80,0,N,1,Y
47,PARATHA,4,KG,600,0,600,0,N,1,Y
49,"BIHARI CHICKEN BOTI BONELESS",4,KGS,1125,775,350,0,Y,3,Y
50,"BIHARI KABAB BEEF",4,KGS,2100,0,2100,0,Y,3,Y
51,"TAFTAN -",8,KGS,510,0,510,6,N,15,Y
52,"SHEERMAL -",8,KGS,510,0,510,6,N,15,Y
53,"NAN MILKY -",8,KGS,300,0,300,6,N,15,Y
54,"SALAD GREEN",10,PER,15,0,15,0,N,1,Y
55,RAITA,9,KG,550,0,550,0,N,1,Y
56,"AALOO TARKARI",4,PER,1100,0,1100,0,N,1,Y
57,"CHANA TARKARI",6,KGS,1400,0,1400,0,N,1,Y
58,"FISH FINGER",5,KGS,600,0,600,0,Y,1,Y
60,"KASHMERI TEA",12,P/H,100,0,100,0,N,1,Y
61,"TEA MILKY",12,P/H,100,0,100,0,N,1,Y
62,"SALAD BAR (SHIP)",10,,4000,0,4000,0,N,17,Y
64,"SALAD BAR COLD -12",10,,6000,0,6000,0,N,17,Y
66,"KUNNA MUTTON",3,KGS,3900,2900,1000,0,Y,2,Y
67,"PAAYA BEEF",3,KG,1000,0,1000,0,N,1,Y
69,"FARMAISHI CHAPATI",8,PCS,30,0,30,0,N,15,Y
70,"ESPRESSO COFFEE",12,PERSON,100,0,100,0,N,1,Y
71,"BIHARI CHICKEN DRUM",4,KGS,915,465,450,0,Y,3,Y
72,"CHICKEN CORN SOUP",1,P/H,90,0,90,0,N,1,N
75,"CHATNI AALOO BUKHARA",11,PER,15,0,15,0,N,1,Y
76,"HANDI CHICKEN BONELESS SPECIAL",3,PCS,1955,805,1150,0,Y,1,Y
77,"KARAHI WHITE CHICKEN",3,KGS,1685,535,1150,0,Y,1,Y
78,"PARATHA RAWA MEDA",8,KG,600,0,600,5,N,15,Y
79,"BIRYANI MASALA AALOO CHANA",2,KGS,1350,0,1350,0,N,1,Y
80,LAB-E-SHEREEN,7,KGS,1100,0,1100,0,N,1,Y
81,"RUSSIAN SALAD TRAY",10,PER,600,0,600,0,N,1,N
82,"SEEKH KABAB",4,KGS,1850,1350,500,0,Y,3,Y
83,"RABRI KHEER",7,KG,1100,0,1100,0,N,1,Y
84,"HOT & SOUR SOUP",1,P/H,100,0,100,0,N,1,N
85,KACHOOMER,10,KG,700,0,700,0,N,1,N
86,"HALWA SUJI",7,KGS,800,0,800,0,N,1,Y
87,"BEEF HALEEM",3,KG,800,0,800,0,N,9,Y
88,KHICHRA,3,KGS,1250,850,400,0,Y,9,Y
89,GULLATI,7,KGS,1200,0,1200,0,N,1,N
91,"BHAGARE BAGUN",10,PER,6,0,6,0,N,1,N
92,"MIRCHON KA SALAN",10,PER,3,0,3,0,N,1,Y
94,CHPATI,8,NOS,7,0,7,0,N,15,N
96,"ZEERA PULAOW",2,KGS,1250,0,1250,0,N,1,Y
97,"COLD DRINK",14,CRATE,1500,0,1500,0,N,20,N
99,"SALAM TANDOORI CHICKEN",4,PCS,1535,535,1000,0,Y,10,Y
100,"RUSSIAN SALAD PLATER",10,,1800,0,1800,0,N,17,Y
101,"KACHORI TARKARI",6,PER,75,0,75,0,N,1,N
102,"PEAS PULAOW",2,KGS,1300,0,1300,0,N,1,N
106,"BIRYANI CHAT MASALAH",17,KGS,1300,0,1300,0,N,34,N
107,"GARAM GULAB JAMAN",7,KGS,1200,0,1200,0,N,1,N
108,QULCHA,8,PCS,85,0,85,0,N,15,Y
111,"ACHAR GOSHT CHICKEN",3,KGS,1725,825,900,0,Y,1,Y
112,"DAAL GOSHT BEEF",3,KGS,2150,1450,700,0,Y,1,Y
113,"DAAL GOSHT MUTTON",3,KGS,3400,2600,800,0,Y,1,Y
115,"ICE CREAM MANGO",7,LTR,1300,0,1300,0,N,7,Y
116,"DAHI PHULKI",6,KGS,850,0,850,0,N,1,N
117,"PAN STALL",13,PCS,35,0,35,0,N,19,N
118,"BOTI BEEF",4,KGS,2100,0,2100,0,Y,3,Y
119,"GREEN MASALA MUTTON",3,KGS,3500,2600,900,0,Y,1,Y
120,"PAAYA MUTTON",3,KGS,800,0,800,0,Y,1,Y
121,"JALFREZI CHICKEN",3,KGS,1035,535,500,0,Y,1,Y
122,"SHASHLIK CHICKEN",4,KGS,1825,775,1050,0,Y,3,Y
123,"CHICKEN TIKKA BOTI",4,KGS,985,535,450,0,Y,3,Y
124,"GINGER CHICKEN",3,KGS,1435,535,900,0,Y,1,Y
125,"RAS MALAI",7,PCS,0,0,0,0,N,16,Y
126,"HARI MIRCH QEEMA FISH",3,KGS,900,0,900,0,Y,1,Y
127,LAB-E-KHAS,7,KGS,1100,0,1100,0,N,1,Y
128,"QORMA WHITE CHICKEN",3,KGS,1585,535,1050,0,Y,1,Y
130,"SINGAPORIAN RICE",2,KGS,6000,0,6000,0,N,1,Y
131,"WHITE KARAHI MUTTON",3,KGS,4050,2900,1150,0,Y,1,Y
132,"NOODLS + RUSIAN SALAD",10,PER,1200,0,1200,0,N,17,Y
133,"RESHMI KABAB CHICKEN",4,KGS,1275,775,500,0,Y,3,Y
134,"QULFI CRUNCH FALOODA",7,PCS,90,0,90,0,N,7,Y
136,"BIRYANI MASALA AALOO",2,KGS,1300,0,1300,0,N,1,Y
137,"QULCHA -",8,KG,510,0,510,0,N,15,Y
138,"ONE BYTE SAMOSA BEEF",6,PCS,60,0,60,0,N,5,N
139,"WELCOME DRINK",1,NOS,100,0,100,0,N,1,N
140,"TANDOOR (LIVE)",8,NO.,8500,0,8500,0,N,17,N
141,"CHAPLI KABAB BEEF",5,KGS,1800,0,1800,0,Y,4,Y
142,"JALEBI STALL",7,NOS,13000,0,13000,0,N,12,N
143,"SAMOSA QEEMA BEEF",1,PCS,60,0,60,0,N,5,N
144,"SAMOSA AALOO",6,PCS,50,0,50,0,N,5,N
145,"PAKORA MIX",15,KGS,800,0,800,0,N,5,N
148,"NIHARI BEEF",3,KGS,2750,1750,1000,0,Y,1,Y
150,"SHASHLIK VEGETABLE",4,KGS,400,0,400,0,N,1,N
151,"ROOH AFZA",15,PER,80,0,80,0,N,1,Y
152,"DAHI BARAY",15,KGS,300,0,300,0,N,5,N
153,"FRIED FISH LAHORI",5,KGS,600,0,600,0,Y,1,Y
154,"QORMA FISH",3,KGS,900,0,900,0,Y,1,Y
155,"BIRYANI VEGETABLE",2,KGS,1250,0,1250,0,N,1,Y
156,"PALAK PANIR BEEF",3,KGS,2050,1450,600,0,N,1,Y
157,"CRISPY CHICKEN POTATO CUTLETS",6,PCS,50,0,50,0,N,5,N
158,"GREEN TEA",12,CUP,100,0,100,0,N,1,N
159,"BOHRA FRIED BATAIR",5,NOS,600,0,600,0,Y,1,N
