order_id,sno,order_item_id,instruction,cat,meat,rice,additional,daigs,rate,net
1,1,522,,PARTY,1,5,0,1,470,2350
2,1,225,,CAT,6,6,0,1,1450,8700
2,2,83,,CAT,4,4,0,1,500,2000
3,1,1,,PARTY,1,3,0,1,570,1710
4,1,33,,CAT,4,4,0,1,300,1200
5,1,14,,PARTY,2,2,0,1,350,700
6,1,361,,PARTY,12,8,0,1,450,3600
6,2,513,,PARTY,12,12,0,1,350,4200
6,3,548,,PARTY,25,25,0,1,250,6250
6,4,187,,CAT,20,20,0,1,500,10000
7,1,361,,PARTY,5.25,4,0,1,450,1800
7,2,21,,CAT,10,10,0,1,550,5500
7,3,83,,CAT,5,5,0,1,400,2000
8,1,542,,PARTY,12,12,0,1,470,5640
8,2,522,,CAT,5,5,0,1,670,3350
8,3,30,,CAT,4,4,0,1,900,3600
9,1,33,,CAT,8,8,0,1,300,2400
10,1,1,,CAT,15,10,0,1,750,7500
10,2,55,,CAT,2,2,0,1,180,360
11,1,522,,CAT,12,8,0,1,770,6160
11,2,15,,PARTY,10,10,0,1,350,3500
11,3,548,,CAT,25,25,0,1,400,10000
11,4,101,,CAT,100,100,0,1,40,4000
11,5,51,,CAT,4,4,0,1,210,840
11,6,140,,CAT,1,1,0,1,3500,3500
11,7,55,,CAT,3,3,0,1,180,540
11,8,563,,CAT,3,3,0,1,250,750
11,9,168,,CAT,100,100,0,1,0,0
12,1,16,,CAT,8,8,0,1,500,4000
12,2,53,,CAT,7,7,0,1,120,840
13,1,673,,CAT,7,6,0,1,745,4470
14,1,361,,CAT,12,9,0,1,1090,9810
14,2,187,,CAT,10,10,0,1,500,5000
14,3,53,,CAT,2,2,0,1,120,240
14,4,51,,CAT,2,2,0,1,210,420
14,5,55,,CAT,1.5,1.5,0,1,180,270
14,6,563,,CAT,2,2,0,1,300,600
15,1,361,,PARTY,1,10,0,1,450,4500
15,2,196,,PARTY,5,5,0,1,350,1750
15,3,241,,PARTY,7,7,0,1,350,2450
15,4,33,,CAT,10,10,0,1,300,3000
15,5,55,,CAT,3,3,0,1,180,540
15,6,54,,CAT,80,80,0,1,10,800
16,1,77,,CAT,6,6,0,1,550,3300
16,2,131,,PARTY,7.2,7.2,0,1,350,2520
16,3,187,,CAT,6,6,0,1,500,3000
16,4,187,,CAT,4,4,0,1,500,2000
16,5,541,,CAT,7,7,0,1,150,1050
16,6,541,,CAT,4,4,0,1,150,600
17,1,522,,CAT,9,9,0,1,620,5580
17,2,571,,CAT,15,15,0,1,60,900
18,1,375,,CAT,4,4,0,1,1000,4000
18,2,673,,CAT,6,6,0,1,660,3960
19,1,361,,CAT,7.5,5,0,1,1120,5600
19,2,522,,CAT,27,27,0,1,620,16740
19,3,405,,CAT,1,1,0,1,650,650
20,1,130,,CAT,18,18,0,1,1200,21600
20,2,522,,CAT,9,9,0,1,670,6030
20,3,405,,CAT,1,1,0,1,650,650
21,1,361,,PARTY,6,4,0,1,450,1800
21,2,14,,PARTY,4,4,0,1,350,1400
