account_no,name,phone,address,city,opening_credit,opening_debit
2010020003,"FARHAN CHICKEN",,,,0,0
2010020004,"RAFIQ CHICKEN (30) 15",03213610365,,,1800000,0
2010020005,"KHAS CHICKEN",,,,0,0
2010020006,"MUZAMMIL MUTTON (23) 3",03003529399,,,1322147,0
2010020007,"NIZAM MUTTON (27) 3",,,,0,0
2010020008,"FAISAL BEEF (11) 3",03121147717,,,700000,0
2010020009,"GULFAM BEEF",,,,0,0
2010020010,"SABIR FISH",,,,0,0
2010020011,"IQBAL FISH",,,,0,0
2010020013,"HUMAYION OIL (15)",,,,0,0
2010020015,"HAJI SHEERMAL",,,,0,0
2010020016,"SHAIR ALI TANDOOR (DILPASAND FOOD)",03212428136,,,0,0
2010020017,"ICE BERG SADAR (16)",03028440052,,,0,0
2010020019,"TANOLI VEGETABLES (35)",,,,0,0
2010020020,"AHMED VEGETABLES (5)",,,,0,0
2010020021,"TAWAKKAL STORE (37)",03323185053,,,0,0
2010020022,"CHINIOT CLASSIC (MUNAF KUNNA) (22) 2",,,,0,0
2010020023,"TAHIR KARAHI LIVE (34)",,,,0,0
2010020024,"KARAHI LIVE",,,,0,0
2010020025,"ISMAIL BBQ",,,,0,0
2010020026,"AKRAM BBQ (7) 1 #3003683399",,,,0,0
2010020029,ABC,,,,0,0
2010020031,"QADRI MASALA",,,,0,0
2010020032,"KAMRAN MASALA (19) 03003626156",,,,0,0
2010020033,"ABDUL RAZZAQ MILK (3) 4.50",,,,0,0
2010020034,"GOOD LUCK STORE",,,,0,0
2010020035,"AQEEL KARAKURAM DESSERT (8)",,,,0,0
2010020036,"VENUS PAKISTAN",,,,0,0
2010020037,"PACKING SHAKIR BHAI (29)",,,,0,0
2010020038,"MR.NAZIR SOUP YAKHNI",,,,0,0
2010020039,"KAMAL UNCLE (18)",,,,0,0
2010020040,"RAHIL RICE",,,,0,0
2010020041,"PACIFIC DISTRIBUTOR (28)",,,,0,0
2010020042,"RIZWAN JUICE",,,,0,0
2010020043,"DESSERTS MANUFACTURE",,,,0,0
2010020044,"WAQAS BEEF",03002457673,,,0,0
2010020045,"KING POULTRY",,,,0,0
2010020046,"KANPA INTERNATIONAL (MAHI)",,,,0,0
2010020047,"KUR ASSOCIATES",03332278430,,,0,0
2010020049,"AL-AMIN SALT WORKS",36991392,,,0,0
2010020050,"VIVOTIC MOIZ MARKETING",,,,0,0
2010020051,"AF TRADERS",,,,0,0
2010020052,"MR. ARSALAN LEHSAN ADRAK",,,,0,0
2010020053,"SARTAJ FOOD ICE CREAM",03072668366,,,0,0
2010020054,"ALI & ALI ENTERPRISES (KAMRAN)",,,,0,0
2010020056,"DOSSANI FOODS",,,,0,0
2010020057,"RUSTAM KHAN",03002360395,,,0,0
2010020058,"HAROON (KEWRA WALEY)",36973655,,0345-2761637,0,0
2010020059,"MAHROZ (AL-HAAJ AKHTAR)",,,,0,0
2010020060,"GOLDEN ENTERPRISES",,,,0,0
2010020061,"SHANI LIVE KARAGI & BBQ",,,,0,0
2010020062,"NATIONAL TRADERS",03002525367,,,0,152500
2010020064,"ZARREEN PRINTERS",,,,0,0
2010020065,"AF FOODS",,,,0,0
2010020066,"MAHMOOD BHAI (NAMAK WALY)",,,,0,0
2010020067,"MEMON MASALY",03212418196,,,0,0
2010020068,"NEW BOMBAY SAVER WORKS",,,,0,0
2010020069,"DAWOOD PAN STALL(FAHIM)",,,,0,0
2010020070,"SHAHBAZ QUAILS MEAT",,,,0,0
2010020071,"BURHANI FEROZ (NIMKO)",,,,0,0
2010020072,"COMPUTER POINT SALES & SERVICE",,,,0,0
2010020073,"ROSHAN KALAI WALA",,,,0,0
2010020075,"AZIZ STORE",,,,0,0
2010020077,"SHAHID (OFFICE BOY) AL HAAJ AKHTAR",,,,0,0
2010020078,"KINZA TRADERS",03009261456,,,0,0
2010020079,"KHURSHEED (RUDDI WALA)",,,,0,0
2010020080,"AFROZ (KEWRA WALY)",,,,0,0
2010020081,"TOYOTA EASTERN MOTERS",,,,0,0
2010020082,"AMEER & SONS",,,,0,0
2010020083,"GREEN CHEMICAL",,,,0,0
2010020084,"A.M. TRADERS",,,,0,0
2010020085,"NAVEED TRADERS (RICE) (25)",,,,0,0
2010020086,"MR. NADEEM AKHTAR (OWNER) AL HAAJ AKHTAR & SONS",,,,0,0
2010020087,"SHAHRUKH BROTHERS",,,,0,0
2010020088,"MR. GULZAR HALEEM (12)",,,,0,0
2010020089,"CHOTA CHICKEN",,,,0,0
2010020090,"BRAF WALA (ATAA ULLAH)",34833926,,0300-2577244,0,0
2010020091,"SOHAIL SB (CASH MASHINE)",,,,0,0
2010020092,"DACCA SWEETS",,,,0,0
2010020093,"HQ RICE",,,,0,0
2010020094,"AL-NOOR RICE",,,,0,0
2010020095,"AB CHICKEN 2 (4)",,,,0,609531
2010020097,"SALEEM KHAN SABZI",03003522765,,,0,0
2010020098,"BILAL STORE",,,,0,0
2010020099,"SHOUKAT BEEF",,,,0,0
2010020100,"NADEEM AND JAVEED",,,,0,0
2010020101,"HAJI RABRI",,,,0,0
2010020102,"HAJI MUSTAQUEEM (KHOYA)",,,,0,0
2010020103,"JAN MOHAMMAD/MARVI (KHOYA) (17) 2 # 03216742270",,,,0,0
2010020104,"SULTAN PURCHASER",,,,0,0
2010020105,"JONA WALAY",,,,0,0
2010020106,"QADIR BAGS",,,,0,0
2010020107,"ZAM ZAM MUTTON",,,,0,0
2010020108,"REHAN BBQ",,,,0,0
2010020109,"REHAN SWEETS",,,,0,0
2010020110,"AKAS PRINTER",,,,0,0
2010020111,"SULTAN POLITHEN BAIG (33)",,,,0,203331
2010020112,"SHOKAT CHICKEN",,,,0,0
2010020113,"SHOUKAT CHICKEN",,,,0,0
2010020114,"HAJI MEHFOOZ SHEER MAL(13) 2 36325402-3",,GULISTAN-E-JOHAR,,0,0
2010020115,"YOUSF MASALA",,,,0,0
2010020116,"NOORANI STORE",,,,0,0
2010020117,"QANDHAR TRADERS",,,,0,0
2010020118,"UNITED SALAD BAR",,,,0,0
2010020125,"KHUSHBOO CATERING SERVICE (21)",,,,0,0
2010020126,"ABBAS BANGALI (FOOD MAKER)DELETE....",,,,0,0
2010020127,"A.HAKEEM FISH (1)",03158935476,,,0,0
2010020128,"EJAZ KIRYANA",,,,0,0
2010020129,"NAZIM TEA / CITY JUICE BAR (26)",,,,0,0
2010020130,"SALAM BAKRA - SADIQ (31)",,,,0,0
2010020131,"KARACHI SHER MALL (20)",,,,0,0
2010020132,"HANA DAIRIES (14) # 03212251716",,,,400000,0
2010020133,"ARIF JALEBI / KACHORI",,,,0,0
2010020134,"PAKISTAN BEVERAGE LTD(K.F)",,,,0,0
2010020135,"TERRIFIC MARKETING (36)",,,,0,0
2010020136,"DEL. (LADY WAITRESS)",03132393986,,,0,0
2010020137,"WAQAR BHI (38) .50 # 0333-3342427",,,,0,0
2010020138,"NPD (PVT) LIMITED",,,,0,0
2010020139,"NANDU LAL",,,,0,0
2010020140,"ZASSONS MARWAH",03219228058,,,0,0
2010020141,"MOHSIN MALPURA",03002651633,,,0,0
2010020142,"RIAZ HOT POT",,,,0,0
2010020143,"ASHRAF (GOLE GAPAY DAK KHANA)",,,,0,0
2010020144,"TALIB GENERAL STORE",,,,0,1457084
2010020145,"DELETE 1",,,,0,0
2010020146,"LAVISH DECORATION",,,,0,0
2010020153,"ABID CHICKEN (2)",03043977951,,,0,0
2010020154,"MEAT ONE (24)",111116321,,,0,0
2010020155,"USAMA KACHOORI (9)",,,,0,0
2010020156,"SABIR ICE CREAM",,,,0,0
2010020157,"AZEEM DAIG",03219283856,,,0,0
2010020158,"FISH KASHIF",,,,0,0
2010020159,"KAUSAR STORE",,,,0,0
2010020160,"SBS TRARDERS - IMRAN AZEEM BHAI",,,,0,56800
2010020161,"SUBHAN RICE (CLOSE 25-07-17)",,,,0,0
2010020162,"FOOD BREAK K FOOD CASH REV. ACCOUNT",,,,0,0
2010020163,"FAST TECHNOLOGY",,,,0,0
2010020164,"NICE FURNITURE POINT",,,,0,0
2010020165,"NAZ ENTERPRISES (VEGETABLE)",,,,0,0
2010020166,"ACTIVE FIRE CORPORATION",,,,0,0
2010020167,"AL-HUSSAINI RICE 25 03122856700",03122856700,,,0,0
2010020168,"TUBA RICE",,,,0,0
2010020169,"RAHMAN RICE",,,,0,0
2010020170,"SMART TRADERS (SUPREEMO) (39) # 03022855855",,,,0,0
2010020171,"REHMAT CHAI",,,,0,0
2010020172,"ARSHAD BEEF",,,,0,0
2010020173,"M ADAM KARIMABAD GOL GAPPAY ETC",,,,0,0
2010020175,"MR. GULZAR HALEEM (K.F) CLOSE",,,,0,0
2010020176,"X Y Z RAITA",,,,0,0
2010020177,"MR MOHSIN PURCHASER",,,,0,0
2010020178,"MUSHTAQ PURCHASER (K.F)",,,,0,0
2010020179,"NOMAN PURCHASER (K.F)",,,,0,0
2010020180,"FREDDO DESERT # 03212435947",,,,0,0
2010020181,"NEW TAWAKKAL ELECTRONICS",,,,0,0
2010020182,"AKRAM/AZAM FISH (6)",,,,0,0
2010020183,"KASHIF FOODS BLOCK I MAKING",,,,0,0
2010020184,"ICE CREAM KHAYAL BHAI",,,,0,0
2010020185,"NAEEM GULAB JAMAN",,,,0,0
2010020186,"A.MATEEN COLD",,,,0,0
2010020187,"DANISH KASHIF FOOD",,,,0,0
2010020188,"COCA COLA",,,,0,0
2010020190,"CANNY TRADERS (OIL)",,,,0,0
2010020191,"QADEER CORPORATION",,,,0,0
2010020192,"BBQ SULTAN IQBAL",03012600780,,,187050,0
