KASHIF|2026-08-30|OVERVIEW|net_sales|814327.00
KASHIF|2026-08-30|OVERVIEW|sold_qty|1325.00
KASHIF|2026-08-30|OVERVIEW|returns_amount|6730.00
KASHIF|2026-08-30|OVERVIEW|returned_qty|5.00
KASHIF|2026-08-30|CATEGORY|Starter|qty=24.00|net=27760.00
KASHIF|2026-08-30|CATEGORY|Crispy Fried Chicken|qty=10.00|net=8500.00
KASHIF|2026-08-30|CATEGORY|Kids House|qty=4.00|net=4750.00
KASHIF|2026-08-30|CATEGORY|Burgers|qty=54.00|net=49700.00
KASHIF|2026-08-30|CATEGORY|Smash Burgers|qty=5.00|net=4900.00
KASHIF|2026-08-30|CATEGORY|Sandwiches|qty=16.00|net=13750.00
KASHIF|2026-08-30|CATEGORY|Fries|qty=15.00|net=5350.00
KASHIF|2026-08-30|CATEGORY|Pizza Fries|qty=11.00|net=10300.00
KASHIF|2026-08-30|CATEGORY|Chinese|qty=29.00|net=39200.00
KASHIF|2026-08-30|CATEGORY|Continental|qty=12.00|net=16600.00
KASHIF|2026-08-30|CATEGORY|Bar-B-Que|qty=87.00|net=84570.00
KASHIF|2026-08-30|CATEGORY|Bar-B-Que New Arrivals|qty=2.00|net=6950.00
KASHIF|2026-08-30|CATEGORY|Paratha|qty=87.00|net=10110.00
KASHIF|2026-08-30|CATEGORY|Rolls|qty=83.00|net=33890.00
KASHIF|2026-08-30|CATEGORY|Singaporean Rice|qty=371.00|net=360340.00
KASHIF|2026-08-30|CATEGORY|Chicken Biryani|qty=86.00|net=42065.00
KASHIF|2026-08-30|CATEGORY|Beverages|qty=341.00|net=41370.00
KASHIF|2026-08-30|CATEGORY|Raita & Salad|qty=16.00|net=1900.00
KASHIF|2026-08-30|CATEGORY|Extras|qty=45.00|net=40315.00
KASHIF|2026-08-30|CATEGORY|Dessert|qty=22.00|net=7200.00
KASHIF|2026-08-30|ITEM|pid=158|Singaporean Rice (Regular)|qty=246.00|net=148545.00
KASHIF|2026-08-30|ITEM|pid=159|Singaporean Rice (Large)|qty=76.00|net=84575.00
KASHIF|2026-08-30|ITEM|pid=161|Singaporean Rice (Khass)|qty=17.00|net=49300.00
KASHIF|2026-08-30|ITEM|pid=163|Singaporean Rice Family Pack (Large)|qty=9.00|net=36900.00
KASHIF|2026-08-30|ITEM|pid=194|Classic Platter 3 (3 Persons)|qty=12.00|net=36600.00
KASHIF|2026-08-30|ITEM|pid=160|Singaporean Rice (Platter)|qty=19.00|net=30020.00
KASHIF|2026-08-30|ITEM|pid=165|Deal 4 (Serve 2)|qty=67.00|net=28295.00
KASHIF|2026-08-30|ITEM|pid=175|Soft Drink (345 ml)|qty=206.00|net=24720.00
KASHIF|2026-08-30|ITEM|pid=30|Midnight — Chicken Zinger Burger + Fries + Drink|qty=15.00|net=21150.00
KASHIF|2026-08-30|ITEM|pid=87|Chicken Chow Mein (1 Person)|qty=14.00|net=16800.00
KASHIF|2026-08-30|ITEM|pid=109|Chicken Tikka (Chest)|qty=25.00|net=16250.00
KASHIF|2026-08-30|ITEM|pid=31|Chicken Zinger Burger (With Fries)|qty=16.00|net=12800.00
KASHIF|2026-08-30|ITEM|pid=6|Fish And Chips 5 Pcs|qty=8.00|net=11920.00
KASHIF|2026-08-30|ITEM|pid=101|Chicken Alfredo Pasta (1 Person)|qty=9.00|net=11250.00
KASHIF|2026-08-30|ITEM|pid=162|Singaporean Rice Family Pack (Small)|qty=4.00|net=11000.00
KASHIF|2026-08-30|ITEM|pid=166|Chicken Biryani (Large)|qty=14.00|net=10500.00
KASHIF|2026-08-30|ITEM|pid=110|Deal 15 (Serve 2)|qty=14.00|net=9920.00
